run,gradient_C_per_km,flow_kg_per_s,plant_cost_USD_per_kW,drilling_factor,fixed_charge_rate,productivity_index_kg_s_bar,num_fractures,fracture_height_m,doublets,LCOE_USD_per_MWh
1,60.879027904619356,79.09285355548211,2220.860829960233,1.2211545934165469,0.049773338223984394,9.43155455860626,65,1083.2618638611993,4,43.7
2,57.6384129762182,74.31312805132224,2719.9889554928122,1.2666537602212717,0.05206275787511139,9.069342388237922,69,1099.405531339176,5,54.3
3,56.438844815521506,82.31061683673686,2329.7836442193957,0.9990720516371908,0.05234432063006015,9.829482077969125,87,1027.5665266066724,6,45.4
4,58.628028470339885,84.34116954162313,2188.7817791156594,1.0403176759132609,0.052970731419312675,9.970401574892298,34,960.9838466999142,4,44.5
5,52.60806671332197,76.41075190464619,2113.6300405741094,1.2329145162760824,0.0790966197568324,11.22145075073854,64,938.6369700088961,4,72.1
6,62.171562047239405,90.0982467308795,2592.385847085961,1.2184700617364501,0.0502056998691339,9.505544004014789,50,866.0204772838526,4,45.6
7,61.38548101029958,79.71459412218798,2534.562425098845,1.111486769190561,0.0837517287166386,9.872237084582014,54,920.0340305824665,4,67.4
8,59.430662943587976,71.28045645242649,2153.8417026145016,1.0456067381772929,0.06582362736533583,12.399305497078823,63,890.480544859925,5,52.4
9,64.17492317574343,87.51135226857474,2215.3141823322503,1.4178462756533947,0.06450465312436005,11.305488018401203,67,981.8640395798075,5,48.8
10,62.91478228765773,72.93850258733187,2568.7348959384017,1.2802183145301866,0.05387710297577628,9.951946485954702,61,957.0359416244105,5,49.6
11,60.555133430738955,74.92915058011079,2303.3509340539576,1.319009098733111,0.07643168143196488,9.653207245837093,69,894.116807569821,4,63.9
12,56.69786608274402,78.21594449842283,2340.3506732416317,1.0861500785652594,0.05991681042906381,9.071625810554647,64,1009.0357704378918,5,52.8
13,65.63037952539788,74.5201081339531,2260.848859792174,1.1733686560192644,0.05662396700040817,9.971967717977979,60,860.2887776909736,3,46.8
14,61.59625068000433,82.05741991079448,2137.7166774901175,1.0582696684861868,0.060352394996860945,8.602584644652522,63,997.4959909052,4,46.2
15,61.44438548073814,83.21196022379914,2391.74296859794,1.2041607949003246,0.0625059883141797,10.599767720346337,77,1105.462628060474,5,51.1
16,60.24592043005391,81.85091699447668,2300.501145135694,1.1763927796393092,0.07460607690398403,10.976628323542533,66,989.6574403778332,4,59.2
